ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount
完成30個任務,,3,135693,200
擊敗50個地城首領,擊敗可獲得經驗值的地城首領。,4,135695,200
通關5個傳奇鑰石難度地城,,6,135699,200
完成15個世界任務,,7,136176,150
擊殺10個《巨龍崛起》的團隊副本首領,,8,136202,200
獲得7500點榮譽值,,10,136220,200
贏得5次戰場,,11,136222,200
贏得10次非練習戰的競技場對戰,,12,136224,200
完成製作訂單,在沃卓肯的工匠市場，與製作訂單辦事員交談，取得製作訂單。,13,136242,200
在15場寵物對戰中獲勝,,14,136244,200
以跨陣營隊伍擊敗25個地城首領,擊敗可獲得經驗值的地城首領。,16,136248,150
以龍類寵物擊敗巨龍群島大師級馴獸師,以至少包含2隻龍類寵物的陣容，擊敗2個巨龍群島大師級馴獸師,40,137543,200
使用快樂寵物點心,可向達拉然的補給品商人購買快樂寵物點心。,42,137615,100
愛就在身邊：在巨龍群島使用傳播者的爐石,在2/6-2/20期間，在巨龍群島使用傳播者的爐石。,43,137617,150
愛就在身邊：在雍亞拉平原享受浪漫野餐,在2/6-2/20期間，在雍亞拉平原使用浪漫野餐籃。,44,137619,150
愛就在身邊：完成「甜食總動員」,在2/6-2/20期間，完成「甜食總動員」任務。,45,137621,150
愛就在身邊：擊殺藥劑師胡默爾,在2/6-2/20期間，在影牙城堡擊殺藥劑師胡默爾。,46,137623,150
愛就在身邊：獻上可愛符咒手鐲,在2/6-2/20期間，將可愛符咒手鐲獻給所屬陣營的其中一個領袖。,47,137625,150
向死亡的玩家「/擁抱」。,向死亡的玩家使用表情指令「/擁抱」。,48,137634,50
復活玩家,,49,137636,50
暢飲贊吉爾的慢性毒藥,,50,137645,50
"Earn 5,000 gold from auctions in the Auction House",,52,137647,100
品嚐巧克力蛋糕切片、可愛蛋糕切片和莓子派切片,,53,137651,50
孵化角鷹獸：讓幼雛停在你身上,在2/23當天，讓亂羽角鷹獸幼雛停在你的肩膀上。,54,137655,150
孵化角鷹獸：獲得並使用靈羽,在2/23當天，獲得並使用靈羽。,55,137657,150
暗月馬戲團：擺放大莓子派,在2/5-2/11期間，在暗月島擺放大莓子派。,56,137659,50
在巨龍群島全境獲得聲望,,79,137872,150
通關15個傳奇鑰石難度地城,,81,140979,200
與莫魯克半人馬一起完成大狩獵,在巨龍群島，全程參與並完成大狩獵。,82,140981,150
與朋友一起用魚叉捕魚,在巨龍群島，與另一位玩家一起用魚叉捕魚。,83,140983,50
參與巨牙海民集體盛宴,在巨龍群島伊斯凱拉的集體盛宴完成任務。,84,140985,50
完成攻打龍禍要塞,在巨龍群島甦醒海岸，完成「攻打龍禍要塞」場景。,85,140987,50
攀爬時，使用互助系統,在巨龍群島，在解攀爬世界任務期間使用互助系統。,86,140989,50
在洪荒使者風暴期間，擊敗特殊生物,在洪荒使者風暴活動期間，巨龍群島各地都會出現特殊生物。,87,140991,100
完成飛龍騎術小組賽,在巨龍群島與青銅時空守衛者交談，參加小組賽。,88,141010,150
在巨龍群島完成PvP世界任務,,89,141012,100
擊敗巨龍群島的世界首領,,90,141021,100
完成甦醒海岸支線故事情節,,91,141032,200
完成每週採集任務,可在沃卓肯的工匠市場中，領取每週專業技能任務。,92,141044,100
在巨龍群島搜刮戰爭補給箱,,94,141095,100
在巨龍群島釣起物品,,95,141125,100
給守護巨龍一點愛,在沃卓肯對守護巨龍使用表情指令「/愛」。,96,141883,50
給陣亡巨龍一點愛,在巨龍襲擊中，對2條指定的陣亡巨龍使用表情指令「/愛」。,97,141887,50
給貿易站一點愛,對貿易站的商人和他們的商品使用表情指令「/愛」。,144,142268,50
擊敗25個團隊副本首領,,145,142290,250
與5位朋友一起用魚叉捕捉大傢伙,在巨龍群島，與其他5名玩家一起用魚叉捕捉大傢伙。,146,142297,50
完成公開製作訂單,在沃卓肯的工匠市場，與製作訂單辦事員交談，取得製作訂單。,147,142299,100
